op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
Mul,100,1,0.20728,0.0020728,0.0195783
Square,100,1,0.267752,0.00267752,0.0252901
Sub,100,1,0.345315,0.00345315,0.0326162
ApplyMomentum,200,2,0.167646,0.00083823,0.0158347
BiasAddGrad,100,1,0.187079,0.00187079,0.0176702
BiasAdd,100,1,0.479949,0.00479949,0.0453328
MatMul,200,2,8.43301,0.0421651,0.796526
ReduceMean,100,1,0.499205,0.00499205,0.0471516
